"County","State","FIPS","Total Vote","Clinton","Trump"
"Grayson","KY","21085",10576,1959,8219
"Green","KY","21087",5333,832,4372
"Greenup","KY","21089",16277,4146,11546
"Hancock","KY","21091",4295,1244,2788
"Hardin","KY","21093",43156,13944,26971
"Harlan","KY","21095",10757,1372,9129
"Harrison","KY","21097",7781,2031,5435
"Hart","KY","21099",7264,1730,5320
"Henderson","KY","21101",19710,6707,12159
"Henry","KY","21103",7149,1828,4944
"Hickman","KY","21105",2157,449,1657
"Hopkins","KY","21107",20345,4310,15277
"Jackson","KY","21109",5501,482,4889
"Jefferson","KY","21111",353099,190836,143768
"Jessamine","KY","21113",23326,6144,15474
"Johnson","KY","21115",9572,1250,8043
"Kenton","KY","21117",71998,24214,42958
"Knott","KY","21119",5763,1245,4357
"Knox","KY","21121",12012,1761,9885
"Larue","KY","21123",6367,1278,4799
"Laurel","KY","21125",24833,3440,20592
"Lawrence","KY","21127",6042,1045,4816
"Lee","KY","21129",2667,444,2151
"Leslie","KY","21131",4492,400,4015
"Letcher","KY","21133",9134,1542,7293
"Lewis","KY","21135",5298,785,4363
"Lincoln","KY","21137",9561,1865,7338
"Livingston","KY","21139",4645,887,3570
"Logan","KY","21141",10899,2755,7778
"Lyon","KY","21143",3962,1045,2789
"McCracken","KY","21145",31307,9134,20774
"McCreary","KY","21147",5776,664,5012
"McLean","KY","21149",4566,988,3381
"Madison","KY","21151",37371,11793,23431
"Magoffin","KY","21153",5116,1172,3824
"Marion","KY","21155",8111,2679,5122
"Marshall","KY","21157",16698,3672,12322
"Martin","KY","21159",3953,363,3503
"Mason","KY","21161",7219,1970,4944
"Meade","KY","21163",12231,3026,8660
"Menifee","KY","21165",2779,700,2010
"Mercer","KY","21167",10585,2395,7740
"Metcalfe","KY","21169",4620,976,3491
"Monroe","KY","21171",4991,601,4278
"Montgomery","KY","21173",11452,3158,7856
"Morgan","KY","21175",4775,1006,3628
"Muhlenberg","KY","21177",13060,3272,9393
"Nelson","KY","21179",20802,6434,13431
"Nicholas","KY","21181",2841,787,1957
"Ohio","KY","21183",10398,2080,7942
"Oldham","KY","21185",32853,10268,20469
"Owen","KY","21187",5001,1062,3745
"Owsley","KY","21189",1759,256,1474
"Pendleton","KY","21191",6007,1164,4604
"Perry","KY","21193",10572,2136,8158
"Pike","KY","21195",24665,4280,19747
"Powell","KY","21197",4957,1272,3513
"Pulaski","KY","21199",28041,4208,22902
"Robertson","KY","21201",1013,222,759
"Rockcastle","KY","21203",6691,915,5609
"Rowan","KY","21205",8848,3295,5174
"Russell","KY","21207",8174,1093,6863
"Scott","KY","21209",24200,7715,15052
"Shelby","KY","21211",20580,6276,13196
"Simpson","KY","21213",7531,2144,5077
"Spencer","KY","21215",9515,1921,7196
"Taylor","KY","21217",11306,2553,8320
"Todd","KY","21219",4779,1042,3612
"Trigg","KY","21221",6751,1587,4931
"Trimble","KY","21223",3798,879,2771
"Union","KY","21225",6211,1331,4701
"Warren","KY","21227",48454,16966,28673
"Washington","KY","21229",5636,1420,4013
"Wayne","KY","21231",7992,1431,6371
"Webster","KY","21233",5805,1240,4397
"Whitley","KY","21235",13774,2067,11312
"Wolfe","KY","21237",2635,753,1804
"Woodford","KY","21239",13563,4958,7697
"Allegany","MD","24001",30654,7875,21270
"Anne Arundel","MD","24003",270081,128419,122403
"Baltimore","MD","24510",239402,202673,25205
"Baltimore","MD","24005",390682,218412,149477
"Calvert","MD","24009",47408,18225,26176
"Caroline","MD","24011",14113,4009,9368
"Carroll","MD","24013",91848,26567,58215
"Cecil","MD","24015",45269,13650,28868
"Charles","MD","24017",78303,49341,25614
"Dorchester","MD","24019",15225,6245,8413
"Frederick","MD","24021",125677,56522,59522
"Garrett","MD","24023",14011,2567,10776
"Harford","MD","24025",133672,47077,77860
"Howard","MD","24027",162193,102597,47484
"Kent","MD","24029",10021,4575,4876
"Montgomery","MD","24031",478873,357837,92704
"Prince George's","MD","24033",390385,344049,32811
"Queen Anne's","MD","24035",26523,7973,16993
"St. Mary's","MD","24037",49842,17534,28663
"Somerset","MD","24039",9900,4196,5341
"Talbot","MD","24041",20553,8653,10724
"Washington","MD","24043",65991,21129,40998
"Wicomico","MD","24045",42547,18050,22198
